config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
default,LFRA,SK,spawning,km,84.45,82.88,1.89
default,LFRA,SK,rearing,km,349.84,311.08,12.46
default,LFRA,SK,lake_rearing,ha,14326.87,12737.74,12.48
default,LFRA,SK,wetland_rearing,ha,0,0,NA
default,LFRA,SK,rearing_stream,km,0,0,NA
default,LFRA,SK,rearing_lake_centerline,km,0,0,NA
default,LFRA,SK,rearing_wetland_centerline,km,0,0,NA
default,LFRA,ST,spawning,km,849.58,825.7,2.89
default,LFRA,ST,rearing,km,1379,1292.87,6.66
default,LFRA,ST,lake_rearing,ha,14445.6,0,NA
default,LFRA,ST,wetland_rearing,ha,3382.27,2496.48,35.48
default,LFRA,ST,rearing_stream,km,929.02,855.85,8.55
default,LFRA,ST,rearing_lake_centerline,km,0,0,NA
default,LFRA,ST,rearing_wetland_centerline,km,0,0,NA
default,LFRA,RB,spawning,km,1108.17,0,NA
default,LFRA,RB,rearing,km,1325.07,0,NA
default,LFRA,RB,lake_rearing,ha,8831.03,0,NA
default,LFRA,RB,wetland_rearing,ha,3068.1,0,NA
default,LFRA,RB,rearing_stream,km,940.21,0,NA
default,LFRA,RB,rearing_lake_centerline,km,0,0,NA
default,LFRA,RB,rearing_wetland_centerline,km,0,0,NA
default,VICT,CH,spawning,km,59.12,52.23,13.19
default,VICT,CH,rearing,km,111.26,98.93,12.46
default,VICT,CH,lake_rearing,ha,719.53,0,NA
default,VICT,CH,wetland_rearing,ha,72.64,0,NA
default,VICT,CH,rearing_stream,km,110.42,98.1,12.56
default,VICT,CH,rearing_lake_centerline,km,0,0,NA
default,VICT,CH,rearing_wetland_centerline,km,0,0,NA
default,VICT,CM,spawning,km,131.18,117.91,11.25
default,VICT,CM,rearing,km,0,0,NA
default,VICT,CM,lake_rearing,ha,0,0,NA
default,VICT,CM,wetland_rearing,ha,0,0,NA
default,VICT,CM,rearing_stream,km,0,0,NA
default,VICT,CM,rearing_lake_centerline,km,0,0,NA
default,VICT,CM,rearing_wetland_centerline,km,0,0,NA
default,VICT,CO,spawning,km,131.01,117.62,11.38
default,VICT,CO,rearing,km,142.14,130.58,8.85
default,VICT,CO,lake_rearing,ha,876.56,0,NA
default,VICT,CO,wetland_rearing,ha,74.48,78.88,-5.58
default,VICT,CO,rearing_stream,km,141.31,129.11,9.45
default,VICT,CO,rearing_lake_centerline,km,0,0,NA
default,VICT,CO,rearing_wetland_centerline,km,0,0,NA
default,VICT,ST,spawning,km,62.86,56.15,11.95
default,VICT,ST,rearing,km,130.11,115.41,12.74
default,VICT,ST,lake_rearing,ha,927.98,0,NA
default,VICT,ST,wetland_rearing,ha,76.41,0,NA
default,VICT,ST,rearing_stream,km,129.27,113.93,13.46
default,VICT,ST,rearing_lake_centerline,km,0,0,NA
default,VICT,ST,rearing_wetland_centerline,km,0,0,NA
default,VICT,RB,spawning,km,135.44,0,NA
